Year,Date,Hourly Demand Met (in MW)
2025,08-Jan 1pm,207396.09
2025,08-Jan 2pm,202500.29
2025,08-Jan 3pm,203252.7
2025,08-Jan 4pm,200685.88
2025,08-Jan 5pm,200288.92
2025,08-Jan 6pm,201843.36
2025,08-Jan 7pm,201082.57
2025,08-Jan 8pm,192655.11
2025,08-Jan 9pm,181494.56
2025,08-Jan 10pm,169848.99
2025,08-Jan 11pm,162490.44
2025,09-Jan 12am,154842.72
2025,09-Jan 1am,151125.25
2025,09-Jan 2am,147725.69
2025,09-Jan 3am,145767.48
2025,09-Jan 4am,146301.13
2025,09-Jan 5am,154294.67
2025,09-Jan 6am,170638.07
2025,09-Jan 7am,195704.78
2025,09-Jan 8am,209275.49
2025,09-Jan 9am,219230.21
2025,09-Jan 10am,224732.55
2025,09-Jan 11am,222248.52
2025,09-Jan 12pm,215775.25
2025,09-Jan 1pm,208521.55
2025,09-Jan 2pm,201525.79
2025,09-Jan 3pm,203566.53
2025,09-Jan 4pm,201289.18
2025,09-Jan 5pm,202489.11
2025,09-Jan 6pm,201957.92
2025,09-Jan 7pm,200968.3
2025,09-Jan 8pm,193227.97
2025,09-Jan 9pm,182250.66
2025,09-Jan 10pm,169866.97
2025,09-Jan 11pm,162384.73
2025,10-Jan 12am,154728.65
2025,10-Jan 1am,150912.52
2025,10-Jan 2am,146988.82
2025,10-Jan 3am,146090.48
2025,10-Jan 4am,147123.59
2025,10-Jan 5am,155685.02
2025,10-Jan 6am,172185.27
2025,10-Jan 7am,197462.07
2025,10-Jan 8am,209517.09
2025,10-Jan 9am,220856.38
2025,10-Jan 10am,228401.6
2025,10-Jan 11am,228387.84
2025,10-Jan 12pm,224092.54
2025,10-Jan 1pm,216556.95
2025,10-Jan 2pm,208413.23
2025,10-Jan 3pm,208584.41
2025,10-Jan 4pm,203899.95
2025,10-Jan 5pm,199822.92
2025,10-Jan 6pm,198875.39
2025,10-Jan 7pm,199532.61
2025,10-Jan 8pm,191514.87
2025,10-Jan 9pm,182901.95
2025,10-Jan 10pm,171114.21
2025,10-Jan 11pm,163316.7
2025,11-Jan 12am,154853.4
2025,11-Jan 1am,151356.7
2025,11-Jan 2am,147789.06
2025,11-Jan 3am,146130.84
2025,11-Jan 4am,146751.02
2025,11-Jan 5am,154664.28
2025,11-Jan 6am,168781.73
2025,11-Jan 7am,191468.87
2025,11-Jan 8am,205813.34
2025,11-Jan 9am,216342.87
2025,11-Jan 10am,223249.92
2025,11-Jan 11am,222415.49
2025,11-Jan 12pm,215800.5
2025,11-Jan 1pm,210427.57
2025,11-Jan 2pm,203169.23
2025,11-Jan 3pm,204246.05
2025,11-Jan 4pm,200495.34
2025,11-Jan 5pm,197940.18
2025,11-Jan 6pm,196910.65
2025,11-Jan 7pm,194974.7
2025,11-Jan 8pm,186621.16
2025,11-Jan 9pm,177024.04
2025,11-Jan 10pm,165412.31
2025,11-Jan 11pm,158552.39
2025,12-Jan 12am,151567.39
2025,12-Jan 1am,148222.92
2025,12-Jan 2am,143813.91
2025,12-Jan 3am,141752.47
2025,12-Jan 4am,141914.11
2025,12-Jan 5am,148487.11
2025,12-Jan 6am,159569.81
2025,12-Jan 7am,177544.02
2025,12-Jan 8am,194921.47
2025,12-Jan 9am,207141.32
2025,12-Jan 10am,211693.91
2025,12-Jan 11am,212011.28
2025,12-Jan 12pm,207473.44
2025,12-Jan 1pm,201325.09
2025,12-Jan 2pm,194255.49
2025,12-Jan 3pm,191391.7
2025,12-Jan 4pm,188283.48
2025,12-Jan 5pm,186469.06
2025,12-Jan 6pm,187272.5
2025,12-Jan 7pm,188709.89
2025,12-Jan 8pm,178979.34
2025,12-Jan 9pm,169301.39
2025,12-Jan 10pm,158561.15
2025,12-Jan 11pm,153278.23
2025,13-Jan 12am,145977.39
2025,13-Jan 1am,142157.03
2025,13-Jan 2am,139482.74
2025,13-Jan 3am,138068.75
2025,13-Jan 4am,139261.37
2025,13-Jan 5am,147035.92
2025,13-Jan 6am,161970.09
2025,13-Jan 7am,186872.69
2025,13-Jan 8am,205019.69
2025,13-Jan 9am,211703.25
2025,13-Jan 10am,216317.43
2025,13-Jan 11am,218024.8
2025,13-Jan 12pm,213819.76
2025,13-Jan 1pm,206737.44
2025,13-Jan 2pm,198461.21
2025,13-Jan 3pm,197088.51
2025,13-Jan 4pm,192928.88
2025,13-Jan 5pm,191221.39
2025,13-Jan 6pm,192680.29
2025,13-Jan 7pm,194671.45
2025,13-Jan 8pm,183894.81
2025,13-Jan 9pm,173970.56
2025,13-Jan 10pm,164544.25
